,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7412935323383084,0.5093632958801498,0.7272727272727273,0.5991189427312775,0.8125210305894778
Random Forest,0.7768301350390903,0.5857142857142857,0.5481283422459893,0.5662983425414365,0.8176744956541097
Support Vector Machine,0.7277896233120114,0.4884910485933504,0.5106951871657754,0.4993464052287582,0.7155137158269099
Gradient Boosting,0.7725657427149965,0.5758426966292135,0.5481283422459893,0.5616438356164384,0.8211869276444187
AdaBoost,0.7761194029850746,0.57356608478803,0.6149732620320856,0.5935483870967742,0.8298709433610635
Decision Tree,0.7619047619047619,0.5474452554744526,0.6016042780748663,0.5732484076433121,0.7824453463511605
K-Nearest Neighbors,0.7114427860696517,0.469811320754717,0.6657754010695187,0.5508849557522124,0.7563480025469662
